review,class,sentiment,confidence
"Fantastic spot for an even or a quite cocktail.  They were swell to host the Yelp crew with a great drink menu and super attentive staff.I'd certainly recommend anything with the purred fruit in it (apple, any of them really)!
",LABEL_2,Positive,0.9854527115821838
"Love, love, love the calamari. It's so good and spicy. There is an endless list of martinis and one is better than the next. There is a first and second floor, if you prefer more of a bar or lounge atmosphere. It's not a place I like for dinner, but for drinks and apps it's wonderful.
",LABEL_2,Positive,0.9874569773674011
"Love this place. Stiff martinis and cocktails, cheap drinks, good service, nice atmosphere to chill in the upstairs lounge and hang up with your friends. Classy crowd and much more mature, older, and professional crowd. There aren't any of those college frat boys or belligerent drunks there, which is so great. Very nice place to wind down after a long day.
",LABEL_2,Positive,0.9903545379638672
"It's everything a great cocktail bar should be.  Great location, ambiance, cocktails and chill environment.**Disclaimer:   5 stars doesn't have to mean it's New York City good. It is a simple place and it's not flashy by any means.   I'd take a girl for the beginning of a date or on the opposite end of the spectrum, talking business with colleagues.
",LABEL_2,Positive,0.90446937084198
"I came here before a pirates game, so it was around 5:30ish or so in the evening, we had just gotten lucky that they had a table open before all there reservations for the night started to come in.  I ordered the chicken jerk sandwich with a side salad, absolutely loved it!  The chicken had the perfect amount of spice to it which was off set with sweet with the pineapple chutney it had on it, sooo good!  The salad was even great because they used real green spring mix instead of iceburg lettuce.  I also lov",LABEL_2,Positive,0.9918395280838013
"Olive or Twist is the historic site of my VERY FIRST MARTINI when I turned 21, many years ago.  It's been a long, happy union.While Olive or Twist is NOT a five star restaurant, it gets 5 stars from me because I love it.  Its one of the few places I know of that has been CONSISTANTLY good.  for years!  The interior is warm and a little bit industrial.  The downstairs is the same as it has always been and it's still very nice.The drinks are great although the first martini I ever had (a girl doesn't forget! ",LABEL_2,Positive,0.9901984930038452
"A beautiful little bar with an exciting ""martini"" list - do step outside your comfort zone and try one of the crafted drinks.
",LABEL_2,Positive,0.9768416285514832
"My favorite bar in town love the live music and the martinis - fave is the strawberry shortcake!
",LABEL_2,Positive,0.9923579096794128
"The location is in a strip mall, but this place is a diamond in the rough.  The food was some of the best italian food I have had anywhere.  I live in Kansas City, which has a pretty large and long standing italian populaiton.  The food is a good as any of the old italian places in KC.  Everyone in my group was amazed at the quality of the food for the price.  I will keep this one on my list of places to come back to when I am in AZ again.
",LABEL_2,Positive,0.9833534955978394
"THIS PLACE IS OPEN!The best food and the best service. Try the butter nut squash ravioli.  Fantastic
",LABEL_2,Positive,0.9863985180854797
"We can't say enough good things about this place. The owner and wait staff were genuinely friendly and the food was great. I had the veal caprese and my wife had the canolone.  Both were exceptional and reasonably priced.  Unlike the chain Italian restaurants, the portions were reasonable instead of super-sized.  We were full but not stuffed when we finished.  We also brought our fourteen month old along.  They don't have a kids menu, so I can't call the restaurant ""family friendly,"" but everyone was really",LABEL_2,Positive,0.9602217674255371
